카테고리,국문명,영문명,지역,주소,평점,리뷰수,About
스파/웰니스,숲속 한방 랜드,Supsok Hanbang Land,서울 서대문구 봉원동 51,서대문,3.9,11,참나무 숯가마와 한방 마사지를 제공하는 찜질방으로 대중교통 접근이 다소 불편함.
스파/웰니스,스파 레이,Spa Lei,정보 부족 (잠원동 인근),잠원동,3.8,87,여성 전용 찜질방으로 효소가마 찜질과 야외 노천탕을 보유.
스파/웰니스,스파렉스 사우나,Sparex Sauna,서울 종로구 지봉로 19 Season Bldg. 12F,동묘앞,3.6,65,한옥 디자인의 찜질방으로 외국인 단체 관광객 방문이 많음.
스파/웰니스,강변스파랜드,Riverside Spa Land,서울 광진구 구의강변로 45 성진빌딩 지하2층,강변역 인근,3.4,17,"지하 1,200m 게르마늄 탄산 암반유황천을 사용하는 재래식 불한증막."
스파/웰니스,호쿠토시치세이,Hokutosichisei,서울 중구 을지로 78 남광빌딩 406호,중구,3.4,12,정보가 제한적인 스파/마사지 시설.
스파/웰니스,Juno Hair,Juno Hair,정보 부족 (명동 인근),명동,2.7,27,명동 소재 헤어살롱으로 부정적 리뷰가 다수 있음.
스파/웰니스,오투,O2 Body & Foot,서울 중구 남대문로 78,중구,2.7,13,부정적 평가가 많은 발마사지 업체.
스파/웰니스,Eco Jardin,Eco Jardin,서울 Jahamun-ro 9 5th Floor,경복궁 인근,2.6,10,경복궁 인근 스파로 부정적 리뷰가 다수 있음.
스파/웰니스,황족마사지,Hwangjok Massage,서울 중구 명동8나길 12 롯데리아 5층,명동,2.4,19,일본인 관광객을 주 대상으로 하는 마사지+족욕(가라시피쉬) 업체로 평가는 낮은 편.
스파/웰니스,라인에스테,라인에스테,정보 부족,,5,8,정보 부족
스파/웰니스,Bls Clinic Myeongdong,Bls Clinic Myeongdong,정보 부족,,5,7,정보 부족
스파/웰니스,신천 마사지/ 아델 힐링타이,신천 마사지/ 아델 힐링타이,정보 부족,,5,7,정보 부족
스파/웰니스,에코쟈뎅 잠실롯데타워점,에코쟈뎅 잠실롯데타워점,정보 부족,,5,7,정보 부족
스파/웰니스,스파 디어오가닉,스파 디어오가닉,정보 부족,,5,6,정보 부족
스파/웰니스,스포테라피 신촌이대본점,스포테라피 신촌이대본점,정보 부족,,5,6,정보 부족
스파/웰니스,로렐의원,로렐의원,정보 부족,,5,5,정보 부족
스파/웰니스,아드레포,아드레포,정보 부족,,5,5,정보 부족
스파/웰니스,리진의원,리진의원,정보 부족,,5,4,정보 부족
스파/웰니스,플로우스파 강남,플로우스파 강남,정보 부족,,5,4,정보 부족
스파/웰니스,시암타이마사지,시암타이마사지,정보 부족,,5,4,정보 부족
스파/웰니스,팬시스튜디오,팬시스튜디오,정보 부족,,5,4,정보 부족
스파/웰니스,슬럼독 바버샵,슬럼독 바버샵,정보 부족,,5,4,정보 부족
스파/웰니스,네츄럴타이스파 - 역삼점,네츄럴타이스파 - 역삼점,정보 부족,,5,4,정보 부족
스파/웰니스,더풋샵 압구정 갤러리아점,더풋샵 압구정 갤러리아점,정보 부족,,5,3,정보 부족
스파/웰니스,샹프리스파,샹프리스파,정보 부족,,5,3,정보 부족
스파/웰니스,Jfeel Clinic,Jfeel Clinic,정보 부족,,5,3,정보 부족
스파/웰니스,난다 타이 마사지,난다 타이 마사지,정보 부족,,5,3,정보 부족
스파/웰니스,성수불막사우나,성수불막사우나,정보 부족,,5,2,정보 부족
스파/웰니스,Mediheal spa,Mediheal spa,정보 부족,,5,2,정보 부족
스파/웰니스,리버힐스파,리버힐스파,정보 부족,,5,2,정보 부족
스파/웰니스,스파 에이르 - 잠실 롯데월드몰점,스파 에이르 - 잠실 롯데월드몰점,정보 부족,,5,2,정보 부족
스파/웰니스,도담효소찜질,도담효소찜질,정보 부족,,5,2,정보 부족
스파/웰니스,우리건강연구소,우리건강연구소,정보 부족,,5,2,정보 부족
스파/웰니스,K-뷰티 & 스파 양재 강남,K-뷰티 & 스파 양재 강남,정보 부족,,5,2,정보 부족
스파/웰니스,인사동 마사지,인사동 마사지,정보 부족,,5,2,정보 부족
스파/웰니스,JW스파,JW스파,정보 부족,,5,2,정보 부족
스파/웰니스,VOC Spa,VOC Spa,정보 부족,,5,2,정보 부족
스파/웰니스,굿모닝 약손마사지,굿모닝 약손마사지,정보 부족,,5,2,정보 부족
스파/웰니스,Heyday Crossfit,Heyday Crossfit,정보 부족,,5,2,정보 부족
스파/웰니스,스와니 에스테틱 명동점,스와니 에스테틱 명동점,정보 부족,,5,2,정보 부족
스파/웰니스,스파 어바인,스파 어바인,정보 부족,,5,2,정보 부족
스파/웰니스,웰케어,웰케어,정보 부족,,5,2,정보 부족
스파/웰니스,헤버구떼 HEVERGOODDE,헤버구떼 HEVERGOODDE,정보 부족,,5,2,정보 부족
스파/웰니스,티파니스킨,티파니스킨,정보 부족,,5,2,정보 부족
스파/웰니스,어스니스파,어스니스파,정보 부족,,5,2,정보 부족
스파/웰니스,Samsung Leports Center,Samsung Leports Center,정보 부족,,5,2,정보 부족
스파/웰니스,쑥뜸명가 - 잠실본점,쑥뜸명가 - 잠실본점,정보 부족,,5,1,정보 부족
스파/웰니스,숲속한방랜드,숲속한방랜드,정보 부족,,5,1,정보 부족
스파/웰니스,천국한증막,천국한증막,정보 부족,,5,1,정보 부족
스파/웰니스,Head Spa Seoul,Head Spa Seoul,정보 부족,,5,1,정보 부족
스파/웰니스,Sparex Sauna Goodmorning City,Sparex Sauna Goodmorning City,정보 부족,,5,1,정보 부족
스파/웰니스,하노이마사지 압구정점,하노이마사지 압구정점,정보 부족,,5,1,정보 부족
스파/웰니스,베스파,베스파,정보 부족,,5,1,정보 부족
스파/웰니스,Upic Clinic,Upic Clinic,정보 부족,,5,1,정보 부족
스파/웰니스,Danpoong Hanok,Danpoong Hanok,정보 부족,,5,1,정보 부족
스파/웰니스,수정탕,수정탕,정보 부족,,5,1,정보 부족
스파/웰니스,골든사우나,골든사우나,정보 부족,,5,1,정보 부족
스파/웰니스,하나,하나,정보 부족,,5,1,정보 부족
스파/웰니스,메드아로마,메드아로마,정보 부족,,5,1,정보 부족
스파/웰니스,살롱하우스바네프 잠실점,살롱하우스바네프 잠실점,정보 부족,,5,1,정보 부족
스파/웰니스,더벨스파,더벨스파,정보 부족,,5,1,정보 부족
스파/웰니스,Magok Loungespa,Magok Loungespa,정보 부족,,5,1,정보 부족
스파/웰니스,삼모스포렉스,삼모스포렉스,정보 부족,,5,1,정보 부족
스파/웰니스,만족마사지,만족마사지,정보 부족,,5,1,정보 부족
스파/웰니스,스킨스파,스킨스파,정보 부족,,5,1,정보 부족
스파/웰니스,블루아로마,블루아로마,정보 부족,,5,1,정보 부족
스파/웰니스,F45 트레이닝 강남,F45 트레이닝 강남,정보 부족,,5,1,정보 부족
스파/웰니스,바른마사지마마,바른마사지마마,정보 부족,,5,1,정보 부족
스파/웰니스,하타 요가 안,하타 요가 안,정보 부족,,5,1,정보 부족
스파/웰니스,세레니끄 왕십리점,세레니끄 왕십리점,정보 부족,,5,1,정보 부족
스파/웰니스,포시즌스 스파,포시즌스 스파,정보 부족,,5,1,정보 부족
스파/웰니스,나비 에스테틱 논현점,나비 에스테틱 논현점,정보 부족,,5,1,정보 부족
스파/웰니스,Cellenique Aesthetic,Cellenique Aesthetic,정보 부족,,5,1,정보 부족
스파/웰니스,달항 에스테틱 & 헤드스파,달항 에스테틱 & 헤드스파,정보 부족,,5,1,정보 부족
스파/웰니스,엘림피부경락,엘림피부경락,정보 부족,,5,1,정보 부족
스파/웰니스,Bori Spa,Bori Spa,정보 부족,,5,1,정보 부족
스파/웰니스,스파더젠 바이생크몽드,스파더젠 바이생크몽드,정보 부족,,5,1,정보 부족
스파/웰니스,스파 달항,스파 달항,정보 부족,,5,1,정보 부족
스파/웰니스,Jfeelclinic,Jfeelclinic,정보 부족,,5,1,정보 부족
스파/웰니스,박준뷰티랩 성수퍼퓸점,박준뷰티랩 성수퍼퓸점,정보 부족,,5,1,정보 부족
스파/웰니스,코로비아,코로비아,정보 부족,,5,1,정보 부족
스파/웰니스,달팡 시그니처 스파,달팡 시그니처 스파,정보 부족,,5,1,정보 부족
스파/웰니스,이발소 영호룸,이발소 영호룸,정보 부족,,5,1,정보 부족
스파/웰니스,Grabelle Hair - Euljiro Branch,Grabelle Hair - Euljiro Branch,정보 부족,,5,1,정보 부족
스파/웰니스,seoul myeongdong keondisyeon jeonsin mich dupi masaji,seoul myeongdong keondisyeon jeonsin mich dupi masaji,정보 부족,,5,1,정보 부족
스파/웰니스,더풋샵 청담점,더풋샵 청담점,정보 부족,,5,1,정보 부족
스파/웰니스,벤자롱스파 - 창2동점,벤자롱스파 - 창2동점,정보 부족,,5,1,정보 부족
스파/웰니스,래쉬 바이브 서울,래쉬 바이브 서울,정보 부족,,5,1,정보 부족
스파/웰니스,SoiClinic,SoiClinic,정보 부족,,5,1,정보 부족
스파/웰니스,단오풍정,단오풍정,정보 부족,,5,1,정보 부족
스파/웰니스,하이디하우스,하이디하우스,정보 부족,,5,1,정보 부족
스파/웰니스,요가모션,요가모션,정보 부족,,5,1,정보 부족
스파/웰니스,디 오리엔탈,디 오리엔탈,정보 부족,,4.9,7,정보 부족
스파/웰니스,레픽의원,레픽의원,정보 부족,,4.8,4,정보 부족
스파/웰니스,더풋샵,더풋샵,정보 부족,,4.7,3,정보 부족
스파/웰니스,인스파,인스파,정보 부족,,4.7,3,정보 부족
스파/웰니스,파라곤스파,파라곤스파,정보 부족,,4.5,4,정보 부족
스파/웰니스,삼호 궁전 사우나,삼호 궁전 사우나,정보 부족,,4.5,2,정보 부족
스파/웰니스,약손명가 명동점,약손명가 명동점,정보 부족,,4.5,2,정보 부족
스파/웰니스,스파더엘,스파더엘,정보 부족,,4.5,2,정보 부족
스파/웰니스,콘래드 스파,콘래드 스파,정보 부족,,4.5,2,정보 부족
스파/웰니스,풋앤비타,풋앤비타,정보 부족,,4.5,2,정보 부족
스파/웰니스,아시아뷰티,아시아뷰티,정보 부족,,4.5,2,정보 부족
스파/웰니스,반얀 트리 스파,반얀 트리 스파,정보 부족,,4.3,7,정보 부족
스파/웰니스,족도 마사지,족도 마사지,정보 부족,,4.3,7,정보 부족
스파/웰니스,Myeongdong Mud,Myeongdong Mud,정보 부족,,4.3,6,정보 부족
스파/웰니스,우리유황온천,우리유황온천,정보 부족,,4.3,3,정보 부족
스파/웰니스,쉐르빌사우나,쉐르빌사우나,정보 부족,,4.3,3,정보 부족
스파/웰니스,오휘스파 명동,오휘스파 명동,정보 부족,,4,5,정보 부족
스파/웰니스,아모레성수,아모레성수,정보 부족,,4,4,정보 부족
스파/웰니스,휴고 스파,휴고 스파,정보 부족,,4,4,정보 부족
스파/웰니스,올림피아 사우나,올림피아 사우나,정보 부족,,4,2,정보 부족
스파/웰니스,브이스파,브이스파,정보 부족,,4,2,정보 부족
스파/웰니스,골프포트숯가마찜질방,골프포트숯가마찜질방,정보 부족,,4,1,정보 부족
스파/웰니스,레이크사우나,레이크사우나,정보 부족,,4,1,정보 부족
스파/웰니스,명동 머드 사우나,명동 머드 사우나,정보 부족,,4,1,정보 부족
스파/웰니스,스파 더 정,스파 더 정,정보 부족,,4,1,정보 부족
스파/웰니스,준오헤어 강남우성사거리점,준오헤어 강남우성사거리점,정보 부족,,4,1,정보 부족
스파/웰니스,중계스파밸리,중계스파밸리,정보 부족,,4,1,정보 부족
스파/웰니스,Utopia Spa,Utopia Spa,정보 부족,,4,1,정보 부족
스파/웰니스,Bluestone Sports,Bluestone Sports,정보 부족,,4,1,정보 부족
스파/웰니스,골든크라운크로스핏 - 서대문역,골든크라운크로스핏 - 서대문역,정보 부족,,4,1,정보 부족
스파/웰니스,오투 바디앤풋,오투 바디앤풋,정보 부족,,4,1,정보 부족
스파/웰니스,River Sauna,River Sauna,정보 부족,,4,1,정보 부족
스파/웰니스,타이 팰리스,타이 팰리스,정보 부족,,4,1,정보 부족
스파/웰니스,Happy Day Spa,Happy Day Spa,정보 부족,,4,1,정보 부족
스파/웰니스,더풋샵 - 종로점,더풋샵 - 종로점,정보 부족,,3.8,5,정보 부족
스파/웰니스,약손119마사지,약손119마사지,정보 부족,,3.7,3,정보 부족
스파/웰니스,겔랑 스파,겔랑 스파,정보 부족,,3.6,5,정보 부족
스파/웰니스,우 마사지,우 마사지,정보 부족,,3.5,6,정보 부족
스파/웰니스,잠실수양불한증막,잠실수양불한증막,정보 부족,,3.5,2,정보 부족
스파/웰니스,명동미용실 박준뷰티랩,명동미용실 박준뷰티랩,정보 부족,,3.4,5,정보 부족
스파/웰니스,국일관,국일관,정보 부족,,3.3,7,정보 부족
스파/웰니스,봉일스파랜드,봉일스파랜드,정보 부족,,3.3,3,정보 부족
스파/웰니스,롯데 불한증막 사우나,롯데 불한증막 사우나,정보 부족,,3.3,3,정보 부족
스파/웰니스,주노헤어 명동2,주노헤어 명동2,정보 부족,,3.2,5,정보 부족
스파/웰니스,동대문마사지,동대문마사지,정보 부족,,3,3,정보 부족
스파/웰니스,얼짱몸짱 이수점,얼짱몸짱 이수점,정보 부족,,3,3,정보 부족
스파/웰니스,관악프라자,관악프라자,정보 부족,,3,2,정보 부족
스파/웰니스,히마와리 마사지 & 카페,히마와리 마사지 & 카페,정보 부족,,3,2,정보 부족
스파/웰니스,개화산랜드,개화산랜드,정보 부족,,3,1,정보 부족
스파/웰니스,목동헬스대중사우나,목동헬스대중사우나,정보 부족,,3,1,정보 부족
스파/웰니스,약손명가 본점,약손명가 본점,정보 부족,,3,1,정보 부족
스파/웰니스,신촌 불한증막,신촌 불한증막,정보 부족,,3,1,정보 부족
스파/웰니스,드림 배쓰,드림 배쓰,정보 부족,,3,1,정보 부족
스파/웰니스,Jeonggeon Sauna,Jeonggeon Sauna,정보 부족,,3,1,정보 부족
스파/웰니스,씨앤미스파밸리,씨앤미스파밸리,정보 부족,,3,1,정보 부족
스파/웰니스,명동황금사우나,명동황금사우나,정보 부족,,2.7,7,정보 부족
스파/웰니스,주양보석불가마사우나,주양보석불가마사우나,정보 부족,,2.7,3,정보 부족
스파/웰니스,월드컵 스파랜드 24,월드컵 스파랜드 24,정보 부족,,2.5,8,정보 부족
스파/웰니스,풍림24시불가마사우나,풍림24시불가마사우나,정보 부족,,2.3,8,정보 부족
스파/웰니스,한성보석사우나,한성보석사우나,정보 부족,,2,1,정보 부족
스파/웰니스,천지연,천지연,정보 부족,,1.5,8,정보 부족
스파/웰니스,명동 마사지샵 히카리,명동 마사지샵 히카리,정보 부족,,1,8,정보 부족
스파/웰니스,포레나의원,포레나의원,정보 부족,,1,2,정보 부족
스파/웰니스,동영휘트니스클럽,동영휘트니스클럽,정보 부족,,1,1,정보 부족
스파/웰니스,Shine Beam,Shine Beam,정보 부족,,1,1,정보 부족
스파/웰니스,우리랜드 보석 불가마 사우나,우리랜드 보석 불가마 사우나,정보 부족,,,0,정보 부족
스파/웰니스,The SEOL:HA,The SEOL:HA,정보 부족,,,0,정보 부족
스파/웰니스,클럽케이서울,클럽케이서울,정보 부족,,,0,정보 부족
스파/웰니스,시그니엘 에비앙 스파 - 서울,시그니엘 에비앙 스파 - 서울,정보 부족,,,0,정보 부족
스파/웰니스,장안온천,장안온천,정보 부족,,,0,정보 부족
스파/웰니스,네이버한방사우나,네이버한방사우나,정보 부족,,,0,정보 부족
스파/웰니스,종로사우나,종로사우나,정보 부족,,,0,정보 부족
스파/웰니스,호텔 프리마 사우나,호텔 프리마 사우나,정보 부족,,,0,정보 부족
스파/웰니스,짐박스피트니스 강남점,짐박스피트니스 강남점,정보 부족,,,0,정보 부족
스파/웰니스,A3 SPA (Myeongdong),A3 SPA (Myeongdong),정보 부족,,,0,정보 부족
스파/웰니스,성원상떼빌휘트니스사우나,성원상떼빌휘트니스사우나,정보 부족,,,0,정보 부족
스파/웰니스,구동명 쾌유마사지 - 강남점,구동명 쾌유마사지 - 강남점,정보 부족,,,0,정보 부족
스파/웰니스,Mixsoon Flagship Store/Skin Analysis,Mixsoon Flagship Store/Skin Analysis,정보 부족,,,0,정보 부족
스파/웰니스,The Seol:ha,The Seol:ha,정보 부족,,,0,정보 부족
스파/웰니스,삿갓봉사우나,삿갓봉사우나,정보 부족,,,0,정보 부족
스파/웰니스,Pilates English Seoul,Pilates English Seoul,정보 부족,,,0,정보 부족
스파/웰니스,휴마사지,휴마사지,정보 부족,,,0,정보 부족
스파/웰니스,천수24시불한증막사우나,천수24시불한증막사우나,정보 부족,,,0,정보 부족
스파/웰니스,반타이 스파,반타이 스파,정보 부족,,,0,정보 부족
스파/웰니스,인왕목욕탕,인왕목욕탕,정보 부족,,,0,정보 부족
스파/웰니스,스파에이르 - 롯데백화점 영등포점,스파에이르 - 롯데백화점 영등포점,정보 부족,,,0,정보 부족
스파/웰니스,원삼탕,원삼탕,정보 부족,,,0,정보 부족
스파/웰니스,귀족 마사지,귀족 마사지,정보 부족,,,0,정보 부족
스파/웰니스,Abijou Clinic Myeongdong,Abijou Clinic Myeongdong,정보 부족,,,0,정보 부족
스파/웰니스,Seolleung Spa For Men,Seolleung Spa For Men,정보 부족,,,0,정보 부족
스파/웰니스,헤이오브제,헤이오브제,정보 부족,,,0,정보 부족
스파/웰니스,센트럴스파,센트럴스파,정보 부족,,,0,정보 부족
스파/웰니스,현대 사우나,현대 사우나,정보 부족,,,0,정보 부족
스파/웰니스,엄마손사우나,엄마손사우나,정보 부족,,,0,정보 부족
스파/웰니스,대림불가마사우나,대림불가마사우나,정보 부족,,,0,정보 부족
스파/웰니스,뷔너스불가마사우나,뷔너스불가마사우나,정보 부족,,,0,정보 부족
스파/웰니스,아름답다 필라테스,아름답다 필라테스,정보 부족,,,0,정보 부족
스파/웰니스,삼성대중목욕탕,삼성대중목욕탕,정보 부족,,,0,정보 부족
스파/웰니스,까사델아구아,까사델아구아,정보 부족,,,0,정보 부족
스파/웰니스,하노이 풋앤바디 압구정점,하노이 풋앤바디 압구정점,정보 부족,,,0,정보 부족
스파/웰니스,더 스파 앳 그랜드머큐어,더 스파 앳 그랜드머큐어,정보 부족,,,0,정보 부족
스파/웰니스,세방사우나헬스클럽,세방사우나헬스클럽,정보 부족,,,0,정보 부족
스파/웰니스,요가여민블리스,요가여민블리스,정보 부족,,,0,정보 부족
스파/웰니스,Onmyung Holistic Scalp & Body Wellness,Onmyung Holistic Scalp & Body Wellness,정보 부족,,,0,정보 부족
스파/웰니스,GOYO Wellness the Hannam,GOYO Wellness the Hannam,정보 부족,,,0,정보 부족
스파/웰니스,더포레스파 반포점,더포레스파 반포점,정보 부족,,,0,정보 부족
스파/웰니스,아덴스파,아덴스파,정보 부족,,,0,정보 부족
스파/웰니스,한남대중사우나,한남대중사우나,정보 부족,,,0,정보 부족
스파/웰니스,더포레스파 서울숲점,더포레스파 서울숲점,정보 부족,,,0,정보 부족
스파/웰니스,테마사우나,테마사우나,정보 부족,,,0,정보 부족
스파/웰니스,약수목욕탕,약수목욕탕,정보 부족,,,0,정보 부족
스파/웰니스,모생떼 헤드스파 강남점,모생떼 헤드스파 강남점,정보 부족,,,0,정보 부족
스파/웰니스,Salon De Dr.tune's,Salon De Dr.tune's,정보 부족,,,0,정보 부족
스파/웰니스,더하노이풋앤바디 양재역점,더하노이풋앤바디 양재역점,정보 부족,,,0,정보 부족
스파/웰니스,더블루스파,더블루스파,정보 부족,,,0,정보 부족
스파/웰니스,바디앤풋서초양재,바디앤풋서초양재,정보 부족,,,0,정보 부족
스파/웰니스,장충문화체육센터,장충문화체육센터,정보 부족,,,0,정보 부족
스파/웰니스,구동명 풋 마사지 - 신사점,구동명 풋 마사지 - 신사점,정보 부족,,,0,정보 부족
스파/웰니스,Lesso Pilates Studio,Lesso Pilates Studio,정보 부족,,,0,정보 부족
스파/웰니스,스파달항 청담,스파달항 청담,정보 부족,,,0,정보 부족
스파/웰니스,고센 뷰티,고센 뷰티,정보 부족,,,0,정보 부족
스파/웰니스,Abijou Clinic Gangnam,Abijou Clinic Gangnam,정보 부족,,,0,정보 부족
스파/웰니스,네일 식스,네일 식스,정보 부족,,,0,정보 부족
스파/웰니스,에스파 앳 페어몬트,에스파 앳 페어몬트,정보 부족,,,0,정보 부족
스파/웰니스,Eco Jardin Premium Hair Salon,Eco Jardin Premium Hair Salon,정보 부족,,,0,정보 부족
스파/웰니스,스위스퍼펙션스파,스위스퍼펙션스파,정보 부족,,,0,정보 부족
스파/웰니스,헤이오브제,헤이오브제,정보 부족,,,0,정보 부족
스파/웰니스,신신사우나,신신사우나,정보 부족,,,0,정보 부족
스파/웰니스,백제불한증막 인삼사우나,백제불한증막 인삼사우나,정보 부족,,,0,정보 부족
스파/웰니스,춘천옥산가옥불가마,춘천옥산가옥불가마,정보 부족,,,0,정보 부족
스파/웰니스,경원스파랜드,경원스파랜드,정보 부족,,,0,정보 부족
스파/웰니스,네츄럴스파 블랑,네츄럴스파 블랑,정보 부족,,,0,정보 부족
스파/웰니스,휴테라피 홍대,휴테라피 홍대,정보 부족,,,0,정보 부족
스파/웰니스,AHC 스파 - 신사점,AHC 스파 - 신사점,정보 부족,,,0,정보 부족
스파/웰니스,Butfitground Dogok,Butfitground Dogok,정보 부족,,,0,정보 부족
스파/웰니스,쉐라톤 불가마 사우나,쉐라톤 불가마 사우나,정보 부족,,,0,정보 부족
스파/웰니스,윤정문안마원,윤정문안마원,정보 부족,,,0,정보 부족
스파/웰니스,서울시티크루 헬스장,서울시티크루 헬스장,정보 부족,,,0,정보 부족
스파/웰니스,더풋샵이태원점,더풋샵이태원점,정보 부족,,,0,정보 부족
스파/웰니스,스파 임벨리스,스파 임벨리스,정보 부족,,,0,정보 부족
스파/웰니스,Xeo Hair Salon Hongdae South Korea,Xeo Hair Salon Hongdae South Korea,정보 부족,,,0,정보 부족
스파/웰니스,디본디 스킨앤바디,디본디 스킨앤바디,정보 부족,,,0,정보 부족
스파/웰니스,라온스파,라온스파,정보 부족,,,0,정보 부족
스파/웰니스,스톤 하우스 헤드 스파,스톤 하우스 헤드 스파,정보 부족,,,0,정보 부족
스파/웰니스,크라스니네일,크라스니네일,정보 부족,,,0,정보 부족
스파/웰니스,역발산헬스클럽,역발산헬스클럽,정보 부족,,,0,정보 부족
스파/웰니스,Muse Clinic Gangnam,Muse Clinic Gangnam,정보 부족,,,0,정보 부족
스파/웰니스,MOCLOCK 두피 트리트먼트 | 강남,MOCLOCK 두피 트리트먼트 | 강남,정보 부족,,,0,정보 부족
스파/웰니스,백경사우나,백경사우나,정보 부족,,,0,정보 부족
스파/웰니스,현대불가마사우나,현대불가마사우나,정보 부족,,,0,정보 부족
스파/웰니스,프롬어스헤어 석촌호수점,프롬어스헤어 석촌호수점,정보 부족,,,0,정보 부족
스파/웰니스,대경아쿠아월드사우나,대경아쿠아월드사우나,정보 부족,,,0,정보 부족
스파/웰니스,Healing Hills SPA,Healing Hills SPA,정보 부족,,,0,정보 부족
스파/웰니스,Aya Seoul,Aya Seoul,정보 부족,,,0,정보 부족
스파/웰니스,기븐스파,기븐스파,정보 부족,,,0,정보 부족
스파/웰니스,에덴옥사우나,에덴옥사우나,정보 부족,,,0,정보 부족
스파/웰니스,르보아 더 강남,르보아 더 강남,정보 부족,,,0,정보 부족
스파/웰니스,김선희피부경락실,김선희피부경락실,정보 부족,,,0,정보 부족
스파/웰니스,Spa Day,Spa Day,정보 부족,,,0,정보 부족
스파/웰니스,카스탈리아,카스탈리아,정보 부족,,,0,정보 부족
스파/웰니스,모산테 헤드 스파 강남,모산테 헤드 스파 강남,정보 부족,,,0,정보 부족
스파/웰니스,일진남성사우나,일진남성사우나,정보 부족,,,0,정보 부족
스파/웰니스,프리미엄 L 스파 & 왁싱,프리미엄 L 스파 & 왁싱,정보 부족,,,0,정보 부족
스파/웰니스,Kokode Artmake,Kokode Artmake,정보 부족,,,0,정보 부족
스파/웰니스,빌드업피트니스 성수역점,빌드업피트니스 성수역점,정보 부족,,,0,정보 부족
스파/웰니스,학동역 타이 - 강남 예본 테라피,학동역 타이 - 강남 예본 테라피,정보 부족,,,0,정보 부족
스파/웰니스,디프네 청담본점,디프네 청담본점,정보 부족,,,0,정보 부족
스파/웰니스,포슬렌스포츠,포슬렌스포츠,정보 부족,,,0,정보 부족
스파/웰니스,마르퀴스 더말 스파,마르퀴스 더말 스파,정보 부족,,,0,정보 부족
스파/웰니스,Bay by Heoseulgi Spa & Bleach Hongdae,Bay by Heoseulgi Spa & Bleach Hongdae,정보 부족,,,0,정보 부족
스파/웰니스,아워스튜디오브로우,아워스튜디오브로우,정보 부족,,,0,정보 부족
스파/웰니스,Leezu Nail,Leezu Nail,정보 부족,,,0,정보 부족
스파/웰니스,중앙탕,중앙탕,정보 부족,,,0,정보 부족
스파/웰니스,금강산보석사우나,금강산보석사우나,정보 부족,,,0,정보 부족
스파/웰니스,정체마사지,정체마사지,정보 부족,,,0,정보 부족
스파/웰니스,F45 트레이닝 역삼,F45 트레이닝 역삼,정보 부족,,,0,정보 부족
스파/웰니스,대호사우나,대호사우나,정보 부족,,,0,정보 부족
스파/웰니스,라온 에스테틱,라온 에스테틱,정보 부족,,,0,정보 부족
스파/웰니스,Spa by Beaute BR,Spa by Beaute BR,정보 부족,,,0,정보 부족
스파/웰니스,Xcrew Pilates near Hongadae,Xcrew Pilates near Hongadae,정보 부족,,,0,정보 부족
스파/웰니스,한솔24시불가마,한솔24시불가마,정보 부족,,,0,정보 부족
스파/웰니스,얼짱몸짱 신천역점,얼짱몸짱 신천역점,정보 부족,,,0,정보 부족
스파/웰니스,벨뷰의원,벨뷰의원,정보 부족,,,0,정보 부족
스파/웰니스,한국 스킨 스파,한국 스킨 스파,정보 부족,,,0,정보 부족
스파/웰니스,Gangnam Spa,Gangnam Spa,정보 부족,,,0,정보 부족
스파/웰니스,엘피지오 청담,엘피지오 청담,정보 부족,,,0,정보 부족
스파/웰니스,보일드 요가,보일드 요가,정보 부족,,,0,정보 부족
스파/웰니스,Seoul Seonmudo Center,Seoul Seonmudo Center,정보 부족,,,0,정보 부족
스파/웰니스,조시안 로르 파리,조시안 로르 파리,정보 부족,,,0,정보 부족
스파/웰니스,우리스파사우나,우리스파사우나,정보 부족,,,0,정보 부족
스파/웰니스,프리미어 스파,프리미어 스파,정보 부족,,,0,정보 부족
스파/웰니스,Uri Yuhwang Hot Spring,Uri Yuhwang Hot Spring,정보 부족,,,0,정보 부족
스파/웰니스,라움 케이스타 스파,라움 케이스타 스파,정보 부족,,,0,정보 부족
스파/웰니스,청량리진주불한증막,청량리진주불한증막,정보 부족,,,0,정보 부족
스파/웰니스,Sofitel Spa by Beaute BR,Sofitel Spa by Beaute BR,정보 부족,,,0,정보 부족
스파/웰니스,생크몽드스파,생크몽드스파,정보 부족,,,0,정보 부족
스파/웰니스,스킨케어5000 신촌점,스킨케어5000 신촌점,정보 부족,,,0,정보 부족
스파/웰니스,달리아 에스테틱 신촌점,달리아 에스테틱 신촌점,정보 부족,,,0,정보 부족
스파/웰니스,Vog hair K-beauty Hongdae lounge,Vog hair K-beauty Hongdae lounge,정보 부족,,,0,정보 부족
스파/웰니스,중앙사우나,중앙사우나,정보 부족,,,0,정보 부족
스파/웰니스,샹프리스파,샹프리스파,정보 부족,,,0,정보 부족
스파/웰니스,마리에스테틱,마리에스테틱,정보 부족,,,0,정보 부족
스파/웰니스,M Mud Spa,M Mud Spa,정보 부족,,,0,정보 부족
스파/웰니스,스파하라,스파하라,정보 부족,,,0,정보 부족
스파/웰니스,스킨 스파,스킨 스파,정보 부족,,,0,정보 부족
스파/웰니스,Lavirgule SPA,Lavirgule SPA,정보 부족,,,0,정보 부족
스파/웰니스,Lumio Beauty House,Lumio Beauty House,정보 부족,,,0,정보 부족
